Pregrado,Area
Neurociencias,Ciencia
Biología,Ciencia
Geología,Ciencia
Ing. en Ciencias de la Computación,Ingeniería
Ing. Automotriz,Ingeniería
Biofísica,Ciencia
Ing. Aeroespacial,Ingeniería
Meteorología,Ciencia
Física,Ciencia
Ing. en Sistemas,Ingeniería
Ing. Mecatrónica,Ingeniería
Bioquímica y Microbiología,Ciencia
Ciencias de Datos,Tecnología
Ing. Electrónica,Ingeniería
Acuicultura,Ciencia
Física,Ciencia
Química Farmacéutica,Ciencia
Ing. Electromecánica,Ingeniería
Biología,Ciencia
Actuaría,Tecnología
Biología,Ciencia
Biología,Ciencia
Biología,Ciencia
Biología,Ciencia
Medicina Veterinaria,Ciencia
Biología,Ciencia
Bioquímica y Microbiología,Ciencia
Biología,Ciencia
Ing. Mecatrónica,Ingeniería
Medicina Veterinaria,Ciencia
Biología,Ciencia
Ing. en Ciencias de la Computación,Ingeniería
Química Farmacéutica,Ciencia
Ing. Ambiental,Ingeniería
Ing. Ambiental,Ingeniería
Ing. Electrónica,Ingeniería
Biología,Ciencia
Nutrición,Ciencia
Física,Ciencia
Ing. Mecatrónica,Ingeniería
Biología,Ciencia
Biología,Ciencia
Bioquímica y Microbiología,Ciencia
Biología,Ciencia
Bioquímica y Microbiología,Ciencia
Bioquímica y Microbiología,Ciencia
Biología,Ciencia
Biología,Ciencia
Biología,Ciencia
